Incident Id,Issue Type,RCA,Steps to Resolve,Tags,Positive_Counter,Negative_Counter
20441,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20442,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20443,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20444,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20445,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20446,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20447,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20448,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20449,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20450,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20451,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20452,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20453,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20454,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20455,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20456,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20457,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20458,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20459,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20460,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20461,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20462,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20463,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20464,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20465,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20466,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20467,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20468,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20469,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20470,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20471,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20472,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20473,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20474,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20475,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20476,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20477,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20478,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20479,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20480,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20481,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20482,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20483,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20484,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20485,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20486,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20487,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20488,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20489,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20490,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20491,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20492,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20493,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20494,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20495,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20496,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20497,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20498,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20499,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20500,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20501,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20502,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20503,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20504,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20505,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20506,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20507,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20508,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20509,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20510,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20511,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20512,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20513,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20514,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20515,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20516,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20517,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20518,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20519,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20520,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20521,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20522,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20523,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20524,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20525,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20526,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20527,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20528,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20529,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20530,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20531,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20532,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20533,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20534,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20535,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20536,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20537,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20538,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20539,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20540,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20541,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20542,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20543,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20544,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20545,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20546,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20547,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20548,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20549,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20550,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20551,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20552,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20553,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20554,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20555,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20556,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20557,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20558,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20559,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20560,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20561,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20562,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20563,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20564,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20565,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20566,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20567,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20568,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20569,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20570,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20571,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20572,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20573,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20574,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20575,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20576,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20577,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20578,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20579,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20580,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20581,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20582,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20583,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20584,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20585,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20586,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20587,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20588,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20589,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20590,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20591,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20592,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20593,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20594,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20595,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20596,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20597,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20598,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20599,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20600,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20601,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20602,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20603,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20604,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20605,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20606,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20607,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20608,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20609,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20610,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20611,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20612,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20613,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20614,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20615,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20616,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20617,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20618,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20619,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20620,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20621,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20622,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20623,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20624,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20625,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20626,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20627,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20628,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20629,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20630,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20631,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20632,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20633,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20634,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20635,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20636,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20637,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20638,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20639,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20640,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20641,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20642,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20643,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20644,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20645,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20646,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20647,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20648,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20649,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20650,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20651,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20652,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20653,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20654,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20655,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20656,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20657,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20658,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20659,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20660,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20661,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20662,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20663,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20664,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20665,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20666,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20667,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20668,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20669,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20670,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20671,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20672,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20673,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20674,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20675,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20676,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20677,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20678,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20679,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20680,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20681,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20682,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20683,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20684,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20685,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20686,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20687,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20688,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20689,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20690,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20691,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20692,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20693,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20694,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20695,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20696,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
20697,Screen Flickering,Loose display cable,Reconnected display cable and tightened connections.,"Screen, Display",0,0
20698,Keyboard Unresponsive,Faulty keyboard controller,Replaced faulty keyboard.,"Keyboard, Unresponsive",0,0
20699,USB Port Failure,Damaged USB port pins,Repaired USB port pins and tested connections.,"USB, Port Failure",0,0
20700,Motherboard Short Circuit,Capacitor failure on motherboard,Replaced capacitors and tested motherboard.,"Motherboard, Short Circuit",0,0
20701,Overheating,Blocked air vents causing heat buildup,Cleaned air vents and replaced thermal paste.,"Overheating, Air Vents",0,0
20702,Hard Drive Failure,Mechanical failure of hard drive components,Replaced hard drive and restored data from backup.,"Hard Drive, Failure",0,0
20703,Power Supply Failure,Power supply unit burnout,Replaced power supply unit with a new one.,"Power Supply, Burnout",0,0
20704,Network Connectivity,Faulty network card,Replaced network card and updated drivers.,"Network, Connectivity",0,0
20705,Battery Drain,Battery degradation,Replaced battery with a new one.,"Battery, Degradation",0,0
20706,Fan Malfunction,Fan motor burnout,Replaced faulty fan.,"Fan, Malfunction",0,0
